OBJECTID,Title,Description,LON,LAT,Image URL,Link URL,Link Label,SOURCE,STATUS_1
5730,מרכז העסקים מודיעין,תחנת רכבת מרכז העסקים מודיעין,34.98261547,31.91908063,,,לפרוייקטים בתחנה/מקטע,420-0514364,בתכנון
3672,ירושלים גן חיות התנ''כי,תחנת רכבת ירושלים גן חיות התנ''כי,35.17806029,31.74488509,,,לפרוייקטים בתחנה/מקטע,תוכנית ביצוע לשדרוג המסילה לירושלי,נוסעים
3595,אשדוד מיון,תחנת רכבת אשדוד מיון,34.65683551,31.82231432,,,לפרוייקטים בתחנה/מקטע,"צו 24 כניסה דרומית לנמל אשדוד ,3/ 02/ 10",תפעולית
3771,מעבר גבול גלבוע,תחנת רכבת מעבר גבול גלבוע,35.28597657,32.50943722,,,לפרוייקטים בתחנה/מקטע,215-0690883,בתכנון
6356,מתחם תעבורה,תחנת רכבת מתחם תעבורה,34.87955811,31.92727406,,,לפרוייקטים בתחנה/מקטע,תתל/ 45/ א,בתכנון
6675,נתיבות צפון,תחנת רכבת נתיבות צפון,34.56505448,31.44953237,,,לפרוייקטים בתחנה/מקטע,תמל/ 1124/ א,בתכנון
3555,שלוחת תמרה,תחנת רכבת שלוחת תמרה,35.20541824,32.86757632,,,לפרוייקטים בתחנה/מקטע,תמא 23,בתכנון
3585,אלעד - פתח תקווה דרום,תחנת רכבת אלעד - פתח תקווה דרום,34.93317563,32.06428071,,,לפרוייקטים בתחנה/מקטע,תתל/22,בבניה
3636,מרכזית המפרץ קו החוף (לב המפרץ),תחנת רכבת מרכזית המפרץ קו החוף (לב המפרץ),35.03708039,32.79382196,,,לפרוייקטים בתחנה/מקטע,חפ/ 2000,נוסעים
3656,אורון,תחנת רכבת אורון,34.98945595,30.89725394,,,לפרוייקטים בתחנה/מקטע,צו 32,תפעולית
3678,גונן,תחנת רכבת גונן,35.5733399,33.1227714,,,לפרוייקטים בתחנה/מקטע,217-0660522,בתכנון
3724,כפר מנחם,תחנת רכבת כפר מנחם,34.82337314,31.75536569,,,לפרוייקטים בתחנה/מקטע,מפת ענפים,תפעולית
3553,רמת חובב(בתכנון),תחנת רכבת רמת חובב(בתכנון),34.80645547,31.14138052,,,לפרוייקטים בתחנה/מקטע,ד/ 11/ 03/ 266,בתכנון
3582,להבים דרום,תחנת רכבת להבים דרום,34.79524981,31.33354606,,,לפרוייקטים בתחנה/מקטע,מפת ענפים,תפעולית
3657,"ק""מ 157","תחנת רכבת ק""מ 157",34.97921918,30.79774388,,,לפרוייקטים בתחנה/מקטע,צו 32,תפעולית
3673,להבים רהט,תחנת רכבת להבים רהט,34.79820602,31.36979835,,,לפרוייקטים בתחנה/מקטע,תתל/ 3/ 4/ 9/ א,נוסעים
3722,קרית מוצקין,תחנת רכבת קרית מוצקין,35.06961282,32.83271561,,,לפרוייקטים בתחנה/מקטע,תמא/ 23/ 15,נוסעים
3745,ירושלים מרכז,תחנת רכבת ירושלים מרכז,35.21693471,31.7842945,,,לפרוייקטים בתחנה/מקטע,תתל/ 108,בתכנון
4434,תחנת תחבורה ציבורית סגולה,תחנת רכבת תחנת תחבורה ציבורית סגולה,34.90119201,32.11151893,,,לפרוייקטים בתחנה/מקטע,תמא/ 47/ ג/ 1/ 2,בתכנון
4754,עמק חפר,תחנת רכבת עמק חפר,34.88898127,32.40096003,,,לפרוייקטים בתחנה/מקטע,תתל/ 65/ א,בתכנון
3621,אופקים,תחנת רכבת אופקים,34.63381118,31.32145005,,,לפרוייקטים בתחנה/מקטע,"צו 68, תתל/ 4/ 14",נוסעים
6354,רמלה מערב,תחנת רכבת רמלה מערב,34.85631991,31.94050616,,,לפרוייקטים בתחנה/מקטע,מח/ 120,בתכנון
5394,החאן,תחנת רכבת החאן,35.22456549,31.76690686,,,לפרוייקטים בתחנה/מקטע,"101-0307116, תתל 108",בתכנון
5731,מודיעין עילית,תחנת רכבת מודיעין עילית,35.04116055,31.92325428,,,לפרוייקטים בתחנה/מקטע,420-0514364,בתכנון
6034,שוקת/ליקית - קרית המודיעין,תחנת רכבת שוקת/ליקית - קרית המודיעין,34.87819793,31.30246694,,,לפרוייקטים בתחנה/מקטע,,בתכנון
6355,בת חפר,תחנת רכבת בת חפר,35.00718487,32.33901781,,,לפרוייקטים בתחנה/מקטע,תמא/ 23/ 18/ א,בתכנון
6994,חיפה בת גלים - מתוכננת,תחנת רכבת חיפה בת גלים - מתוכננת,198757.2184,748192.3334,,,לפרוייקטים בתחנה/מקטע,תתל/ 65,בתכנון
3739,חולות,תחנת רכבת חולות,34.741616,31.936006,,,לפרוייקטים בתחנה/מקטע,מח/ 148,בתכנון
3740,ירושלים הכותל,תחנת רכבת ירושלים הכותל,35.23708107,31.77555079,,,לפרוייקטים בתחנה/מקטע,תתל/ 108/ א,בתכנון
3741,אשקלון עיר היין,תחנת רכבת אשקלון עיר היין,34.6044241,31.68431157,,,לפרוייקטים בתחנה/מקטע,165 /101 /02 /4,בתכנון
3742,אשקלון דפו,תחנת רכבת אשקלון דפו,34.60450857,31.67119094,,,לפרוייקטים בתחנה/מקטע,ד/ 277 (106 /03 /4),תפעולית
3743,חריש,תחנת רכבת חריש,35.033416,32.471958,,,לפרוייקטים בתחנה/מקטע,תמא/ 23/ 18/ א,בתכנון
3744,יאסף - בית העמק,תחנת רכבת יאסף - בית העמק,35.146217,32.963006,,,לפרוייקטים בתחנה/מקטע,תמא/ 31/ א/ 9/ 1,בתכנון
3746,ירושלים פת,תחנת רכבת ירושלים פת,35.20418,31.749089,,,לפרוייקטים בתחנה/מקטע,4508,בתכנון
3747,כברי,תחנת רכבת כברי,35.14004687,33.01848977,,,לפרוייקטים בתחנה/מקטע,תמא/ 42,בתכנון
3748,כפר תבור,תחנת רכבת כפר תבור,35.41293952,32.69443071,,,לפרוייקטים בתחנה/מקטע,תמא/ 42,בתכנון
3749,עכו מזרח,תחנת רכבת עכו מזרח,35.124157,32.91378,,,לפרוייקטים בתחנה/מקטע,תתל/ 12/ 2,בתכנון
3750,רחובות גבירול,תחנת רכבת רחובות גבירול,34.794945,31.899439,,,לפרוייקטים בתחנה/מקטע,מח/ 140,בתכנון
3751,חדרה מזרח,תחנת רכבת חדרה מזרח,34.950374,32.44341,,,לפרוייקטים בתחנה/מקטע,תתל/22,בבניה
3752,"ראשון לציון - תש""ח","תחנת רכבת ראשון לציון - תש""ח",34.77699,31.956965,,,לפרוייקטים בתחנה/מקטע,413-0351288,בתכנון
3753,גזר דרום,תחנת רכבת גזר דרום,34.91405905,31.90288567,,,לפרוייקטים בתחנה/מקטע,תתל/ 79,בתכנון
3754,קרית שמונה מחוז צפון צפון,תחנת רכבת קרית שמונה מחוז צפון צפון,35.58278811,33.20788485,,,לפרוייקטים בתחנה/מקטע,217-0660522,מסוף בתכנון
3755,נתניה מכללה,תחנת רכבת נתניה מכללה,34.866839,32.291812,,,לפרוייקטים בתחנה/מקטע,נת/ 400/ 7,בתכנון
3756,פרדס חנה מזרח,תחנת רכבת פרדס חנה מזרח,35.022841,32.506789,,,לפרוייקטים בתחנה/מקטע,תמא/ 23/ 18/ ב,בתכנון
3757,רחבעם,תחנת רכבת רחבעם,34.884522,31.917207,,,לפרוייקטים בתחנה/מקטע,415-0322115,בתכנון
3758,שלומי,תחנת רכבת שלומי,35.119266,33.074073,,,לפרוייקטים בתחנה/מקטע,תמא/ 23/ 21,בתכנון
3759,תמנע,תחנת רכבת תמנע,35.013297,29.759344,,,לפרוייקטים בתחנה/מקטע,608-0150086,בתכנון
3760,טמרה,תחנת רכבת טמרה,35.154163,32.875342,,,לפרוייקטים בתחנה/מקטע,תמא/ 23/ 19,בתכנון
3761,גזר צפון,תחנת רכבת גזר צפון,34.91515576,31.90561484,,,לפרוייקטים בתחנה/מקטע,תתל/ 79,בתכנון
3762,זכרון יעקב,תחנת רכבת זכרון יעקב,34.93229863,32.56998093,,,לפרוייקטים בתחנה/מקטע,תתל/ 65/ א,בתכנון
3763,ראש העין דרום,תחנת רכבת ראש העין דרום,34.934276,32.104832,,,לפרוייקטים בתחנה/מקטע,תתל/ 22,בתכנון
3764,שפיים,תחנת רכבת שפיים,34.83594756,32.21257041,,,לפרוייקטים בתחנה/מקטע,תתל/ 22,בתכנון
3765,מירון,תחנת רכבת מירון,35.39226265,32.92557644,,,לפרוייקטים בתחנה/מקטע,217-0660522,בתכנון
3766,תרקומייא,תחנת רכבת תרקומייא,34.98689511,31.58105108,,,לפרוייקטים בתחנה/מקטע,קבצי מתכננים,בתכנון
3767,יד מרדכי,תחנת רכבת יד מרדכי,34.572016,31.597174,,,לפרוייקטים בתחנה/מקטע,תכנית אסטרטגית 2040,בתכנון
3768,דרום מחוז צפון,תחנת רכבת דרום מחוז צפון,35.20247339,32.6495446,,,לפרוייקטים בתחנה/מקטע,תתל/ 13/ 2/ 6,מסוף בתכנון
3769,חדרה מחוז חיפה דרום,תחנת רכבת חדרה מחוז חיפה דרום,34.93240916,32.45533343,,,לפרוייקטים בתחנה/מקטע,תכנית 302-0197632,מסוף בתכנון
